id,Phase ID,Plant phase,Phase operating status,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
P100000120163,S100000130229,Expansion,announced,Angang Group Xinyang Iron and Steel Co Ltd,安钢集团信阳钢铁有限责任公司（1220高炉项目）,persons [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; other [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],"Angang Group Xinyang Iron and Steel Co., Ltd.",Partial,Henan,China,Asia Pacific,announced,N/A,1138.0,ironmaking_BF,BF,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,32.488704,114.038243
P100000120164,S100000130231,Expansion,operating,Henan Jiyuan Iron & Steel (Group) Co Ltd,河南济源钢铁(集团)有限公司,Henan Jiyuan Iron and Steel Investment Holding Co Ltd [48.6%]; other [35.0%]; Tianjin Jinyuan Guotai Enterprise Management Consulting Co Ltd [10.0%]; Trade Union Committee of Henan Jiyuan Iron and Steel (Group) [6.4%],"Henan Jiyuan Iron & Steel (Group) Co., Ltd.",N/A,Henan,China,Asia Pacific,operating,N/A,1191.0,ironmaking_BF,BF,https://www.gem.wiki/Henan_Jiyuan_Iron_&_Steel_(Group)_Co_Ltd,35.086396,112.553774
P100000120167,S100000130236,Expansion,operating,Henan Fengbao Special Steel Co Ltd,河南凤宝特钢有限公司,Henan Fengbao SPECIAL Steel Co Ltd [100%],"Henan Fengbao Special Steel Co., Ltd.",N/A,Henan,China,Asia Pacific,operating,N/A,1520.0,ironmaking_BF,BF,https://www.gem.wiki/Henan_Fengbao_Special_Steel_Co_Ltd,36.131666,113.872158
P100000120171,S100000130241,Expansion,announced,Wuhan Iron and Steel Co Ltd,宝武集团武汉钢铁有限公司,Baoshan Iron & Steel Co Ltd [100.0%],"Wuhan Iron and Steel Co., Ltd.",unknown,Hubei,China,Asia Pacific,announced,N/A,5340.0,ironmaking_BF,BF,https://www.gem.wiki/Wuhan_Iron_and_Steel_Co_Ltd,30.616222,114.444975
P100000120173,S100000130245,Expansion,operating,Daye Special Steel Co Ltd,大冶特殊钢有限公司(湖北新冶钢有限公司),Citic Pacific Special Steel Group Co Ltd [100.0%],"Daye Special Steel Co., Ltd.",N/A,Hubei,China,Asia Pacific,operating,N/A,1180.0,ironmaking_BF,BF,https://www.gem.wiki/Daye_Special_Steel_Co_Ltd,30.204603,115.125838
P100000120188,S100000131777,Closure,operating pre-retirement,Zhangjiagang Hongchang Steel Co Ltd,张家港宏昌钢板有限公司,Hengde International [28.2%]; Hong Kong Hengde Co Ltd [25.0%]; Jiangsu Shagang Group Co Ltd [22.0%]; other [12.8%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.6%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.4%],"Zhangjiagang Hongchang Steel Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,operating pre-retirement,N/A,2500.0,ironmaking_BF,BF,https://www.gem.wiki/Zhangjiagang_Hongchang_Steel_Co_Ltd,31.983146,120.638992
P100000120188,S100000131777,Closure,operating pre-retirement,Zhangjiagang Hongchang Steel Co Ltd,张家港宏昌钢板有限公司,Hengde International [28.2%]; Hong Kong Hengde Co Ltd [25.0%]; Jiangsu Shagang Group Co Ltd [22.0%]; other [12.8%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.6%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.4%],"Zhangjiagang Hongchang Steel Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,retired,N/A,2500.0,ironmaking_BF,BF,https://www.gem.wiki/Zhangjiagang_Hongchang_Steel_Co_Ltd,31.983146,120.638992
P100000120188,S100000131778,Expansion,operating,Zhangjiagang Hongchang Steel Co Ltd,张家港宏昌钢板有限公司,Hengde International [28.2%]; Hong Kong Hengde Co Ltd [25.0%]; Jiangsu Shagang Group Co Ltd [22.0%]; other [12.8%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.6%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.4%],"Zhangjiagang Hongchang Steel Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,operating,N/A,2000.0,ironmaking_BF,BF,https://www.gem.wiki/Zhangjiagang_Hongchang_Steel_Co_Ltd,31.983146,120.638992
P100000120188,S100000131778,Expansion,operating,Zhangjiagang Hongchang Steel Co Ltd,张家港宏昌钢板有限公司,Hengde International [28.2%]; Hong Kong Hengde Co Ltd [25.0%]; Jiangsu Shagang Group Co Ltd [22.0%]; other [12.8%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.6%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.4%],"Zhangjiagang Hongchang Steel Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,announced,N/A,2000.0,ironmaking_BF,BF,https://www.gem.wiki/Zhangjiagang_Hongchang_Steel_Co_Ltd,31.983146,120.638992
P100000120191,S100000130277,Expansion,operating,Jiangyin Xingcheng Special Steel Works Co Ltd,江阴兴澄特种钢铁有限公司,Citic Pacific Special Steel Group Co Ltd [100.0%],"Jiangyin Xingcheng Special Steel Works Co., Ltd.",N/A,Jiangsu,China,Asia Pacific,operating,N/A,1180.0,ironmaking_BF,BF,https://www.gem.wiki/Jiangyin_Xingcheng_Special_Steel_Works_Co_Ltd,31.950191,120.328449
